"","SNAME","SCOMNAME","GENUS_SP","G_RANK","S_RANK","FED","STATE","HP_LIST","ECO_LIST","COUNTY","NAME_CATEGORY","OregonForestPracticesAct","ODFW_STRAT","Taxa-detail","Outside Counties of Interest"
"1","Erythranthe scouleri","Scouler's monkeyflower","Erythranthe scouleri","GNR","SNR",NA,NA,"3","CR","Clat, Colu","Vascular Plant",NA,NA,NA,""
"2","Erythronium elegans","Coast Range fawn-lily","Erythronium elegans","G2","S2","SOC","LT","1","CR","Linc, Polk, Till, Yamh","Vascular Plant",NA,NA,NA,""
"3","Filipendula occidentalis","Queen-of-the-forest","Filipendula occidentalis","G2G3","S2",NA,"C","1","CR","Clat, Linc, Polk, Till","Vascular Plant",NA,NA,NA,""
"4","Impatiens ecornuta","Spurless jewelweed","Impatiens ecornuta","G3G4","S2?",NA,NA,"2","CR","Clat, Colu, Till","Vascular Plant",NA,NA,NA,""
"5","Najas guadalupensis","Common water-nymph","Najas guadalupensis","G5","SNR",NA,NA,"3","BR, CR?","Colu?, Malh, Mult?","Vascular Plant",NA,NA,NA,""
"6","Packera flettii","Flett's groundsel","Packera flettii","G4","S2",NA,NA,"2","CR","Clat, Till, Wash","Vascular Plant",NA,NA,NA,""
"7","Acipenser medirostris pop. 1","Green sturgeon (Southern DPS)","Acipenser medirostris","G3","S2?N","LT","SC","3","CR, KM, ME","Clat, Colu, Coos, Curr, Doug, Lane, Mult?, Till?","Vertebrate Animal",NA,"Strategy species","Fish",""
"8","Acipenser medirostris pop. 2","Green sturgeon (Northern DPS)","Acipenser medirostris","G3","S3","SOC","S","4","CR, KM, ME","Clat, Colu, Coos, Curr, Doug, Lane, Linc, Mult?, Till","Vertebrate Animal",NA,"Strategy species","Fish",""
"9","Aechmophorus clarkii","Clark's grebe","Aechmophorus clarkii","G5","S3B,S2N",NA,NA,"4","BM, BR, CR, EC, KM, ME","Clat, Colu, Coos, Curr, Doug, Harn, Jack, Klam, Lake, Lane, Linc, Till","Vertebrate Animal",NA,NA,"Birds",""
"10","Amphispiza bilineata","Black-throated sparrow","Amphispiza bilineata","G5","S3B",NA,NA,"4","BM, BR, CB, CR, EC","Croo, Desc, Harn, Klam, Lake, Malh, Morr, Wall, Whee","Vertebrate Animal",NA,NA,"Birds","x"
"11","Batrachoseps attenuatus","California slender salamander","Batrachoseps attenuatus","G5","S3",NA,NA,"4","CR, KM","Coos, Curr","Vertebrate Animal",NA,NA,"Amphibians","x"
"12","Brachyramphus marmoratus","Marbled murrelet","Brachyramphus marmoratus","G3","S2B","LT","LT","2","CR, KM, ME","Bent, Clat, Coos, Curr, Doug, Lane, Linc, Polk, Till","Vertebrate Animal",NA,"Strategy species","Birds",""
"13","Calidris ptilocnemis","Rock sandpiper","Calidris ptilocnemis","G5","S3N",NA,"S","4","CR, ME","Clat, Coos, Curr, Doug, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"14","Cerorhinca monocerata","Rhinoceros auklet","Cerorhinca monocerata","G5","S2B",NA,NA,"2","CR, ME","Clat, Coos, Curr, Doug, Lane, Linc, Till","Vertebrate Animal",NA,NA,"Birds","x"
"15","Charadrius nivosus nivosus","Western snowy plover","Charadrius nivosus","G3T3","S2","PS:LT","LT","2","BR, CR, EC, ME","Clat, Coos, Curr, Doug, Harn, Klam, Lake, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"16","Eumetopias jubatus","Northern sea lion","Eumetopias jubatus","G3","S3",NA,NA,"2","CR, ME","Clat, Coos, Curr, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Mammals","x"
"17","Fratercula cirrhata","Tufted puffin","Fratercula cirrhata","G5","S1B",NA,"SC","2","CR, ME","Clat, Coos, Curr, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"18","Gulo gulo","Wolverine","Gulo gulo","G4","S1","PT","LT","2","BM, BR, CB, CR, EC","Bake, Croo, Desc, Doug, Gran, Harn, Hood, Jack, Jeff, Jose, Klam, Lake, Lane, Umat, Unio, Wall, Wasc, Whee","Vertebrate Animal",NA,"Strategy species","Mammals","x"
"19","Haematopus bachmani","Black oystercatcher","Haematopus bachmani","G5","S3",NA,"S","4","CR, ME","Clat, Coos, Curr, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"20","Himantopus mexicanus","Black-necked stilt","Himantopus mexicanus","G5","S4",NA,"S","4","BR, CR, EC, ME","Clat, Coos, Curr, Harn, Klam, Lake, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"21","Martes caurina humboldtensis","Pacific Marten - Coastal Population","Martes caurina","G4G5T1","S1","PT","S","1","CR, KM?","Clat?, Colu?, Coos, Curr, Doug, Jack?, Jose?, Lane, Linc?, Till?, Wash?, Yamh?","Vertebrate Animal",NA,"Strategy species","Mammals",""
"22","Oceanodroma furcata","Fork-tailed storm-petrel","Oceanodroma furcata","G5","S2B",NA,"S","2","CR, ME","Clat, Curr, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"23","Oceanodroma leucorhoa","Leach's storm-petrel","Oceanodroma leucorhoa","G5","S4",NA,"S","4","CR, ME","Clat, Curr, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"24","Oncorhynchus keta pop. 4","Chum salmon (Pacific Coast ESU)","Oncorhynchus keta","G5T3Q","S2",NA,"SC","2","CR, ME","Clat, Coos, Doug, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Fish","x"
"25","Oncorhynchus kisutch pop. 3","Coho salmon (Oregon Coast ESU)","Oncorhynchus kisutch","G5T2Q","S2","LT","S","1","CR, ME","Bent, Clat, Colu, Coos, Curr, Doug, Lane, Linc, Polk, Till, Wash, Yamh","Vertebrate Animal",NA,"Strategy species","Fish",""
"26","Pelecanus erythrorhynchos","American white pelican","Pelecanus erythrorhynchos","G4","S2B",NA,"S","2","BR, CR, EC","Clat, Harn, Klam, Lake","Vertebrate Animal",NA,"Strategy species","Birds","x"
"27","Pelecanus occidentalis californicus","California brown pelican","Pelecanus occidentalis","G4T3T4","S2N",NA,"LE","2","CR, ME","Clat, Coos, Curr, Doug, Lane, Linc, Till","Vertebrate Animal",NA,"Strategy species","Birds","x"
"28","Phalacrocorax pelagicus","Pelagic cormorant","Phalacrocorax pelagicus","G5","S3",NA,NA,"4","CR, KM, ME","Clat, Coos, Curr, Doug, Lane, Linc, Till","Vertebrate Animal",NA,NA,"Birds","x"
"29","Plethodon elongatus","Del Norte salamander","Plethodon elongatus","G4","S3","SOC","S","4","CR, KM","Coos, Curr, Doug, Jack, Jose","Vertebrate Animal",NA,"Strategy species","Amphibians","x"
"30","Ptychoramphus aleuticus","Cassin's auklet","Ptychoramphus aleuticus","G4","S2B",NA,NA,"2","CR, ME","Clat, Coos, Curr, Lane, Linc, Till","Vertebrate Animal",NA,NA,"Birds","x"
"31","Rhinichthys cataractae ssp. 1","Millicoma dace","Rhinichthys cataractae","G5T2","S2","SOC","S","1","CR","Coos, Doug","Vertebrate Animal",NA,"Strategy species","Fish","x"
"32","Rhyacotriton kezeri","Columbia torrent salamander","Rhyacotriton kezeri","G3","S3",NA,"S","4","CR","Clat, Colu, Polk, Till, Wash, Yamh","Vertebrate Animal",NA,"Strategy species","Amphibians",""
"33","Thomomys bottae detumidus","Pistol River pocket gopher","Thomomys bottae","G5T2Q","S2","SOC",NA,"1","CR","Curr","Vertebrate Animal",NA,NA,"Mammals","x"
"34","Thomomys mazama helleri","Gold Beach pocket gopher","Thomomys mazama","G4T1T2","S1S2","SOC",NA,"1","CR","Curr","Vertebrate Animal",NA,NA,"Mammals","x"
"35","Pterostichus brachylobus","A carabid beetle","Pterostichus brachylobus","G2","S2",NA,NA,"3","CR","Linc, Till","Invertebrate Animal",NA,NA,"Insects","x"
"36","Lycaena mariposa candia","Candace's copper","Lycaena mariposa","G5T1?","S1",NA,NA,"1","CR","Linc","Invertebrate Animal",NA,NA,"Insects","x"
"37","Plebejus saepiolus littoralis","Coastal greenish blue (butterfly)","Plebejus saepiolus","G5T1T3","S1",NA,NA,"1","CR","Coos, Curr, Lane?","Invertebrate Animal",NA,"Strategy species","Insects","x"
"38","Bembidion tigrinum","Cryptic beach carabid beetle","Bembidion tigrinum","G5","S4",NA,NA,"3","CR, ME","Clat, Coos, Till","Invertebrate Animal",NA,NA,"Insects","x"
"39","Lepidostoma astanea","Goeden's lepidostoman caddisfly","Lepidostoma astanea","G2","S2?","SOC",NA,"2","CR","Linc","Invertebrate Animal",NA,NA,"Insects","x"
"40","Speyeria cybele eileenae","Great Spangled Fritillary - California subpopulation","Speyeria cybele","G5T1T2","S1?",NA,NA,"1","CR","Curr","Invertebrate Animal",NA,NA,"Insects","x"
"41","Monadenia fidelis flava","Green sideband (snail)","Monadenia fidelis","G4G5T2Q","S1S2",NA,NA,"1","CR, KM","Curr, Doug","Invertebrate Animal",NA,NA,"Snails and Slugs","x"
"42","Rhyacophila haddocki","Haddock's rhyacophilan caddisfly","Rhyacophila haddocki","G1","S1","SOC",NA,"1","CR","Bent, Curr, Doug","Invertebrate Animal",NA,NA,"Insects","x"
"43","Saldula villosa","Hairy shore bug","Saldula villosa","G3","S1?",NA,NA,"3","CR, ME","Coos","Invertebrate Animal",NA,NA,"Insects","x"
"44","Lycaena mariposa junia","June's copper","Lycaena mariposa","G5TNR","S1?",NA,NA,"2","CR","Clat","Invertebrate Animal",NA,NA,"Insects","x"
"45","Nabis propinquus","Marsh damsel bug","Nabis propinquus","G5","S2",NA,NA,"3","CR","Coos, Till","Invertebrate Animal",NA,NA,"Insects","x"
"46","Pomatiopsis chacei","Marsh walker (snail)","Pomatiopsis chacei","G1","SH",NA,NA,"1","CR, KM","Curr","Invertebrate Animal",NA,NA,"Snails and Slugs","x"
"47","Grylloblatta chintimini","Marys peak ice cricket","Grylloblatta chintimini","G1?","S1?",NA,NA,"3","CR","Bent","Invertebrate Animal",NA,NA,"Insects","x"
"48","Littorina subrotundata","Newcomb's littorine snail","Littorina subrotundata","G5","S1",NA,NA,"2","CR, ME","Coos, Linc","Invertebrate Animal",NA,NA,"Snails and Slugs","x"
"49","Lygus oregonae","Oregon plant bug","Lygus oregonae","G2","S2",NA,NA,"1","CR","Curr, Linc, Till","Invertebrate Animal",NA,NA,"Insects","x"
"50","Speyeria zerene hippolyta","Oregon silverspot (butterfly)","Speyeria zerene","G5T1","S1","LT, XN",NA,"1","CR","Clat, Lane, Linc, Till, Yamh","Invertebrate Animal",NA,"Strategy species","Insects",""
"51","Pomatiopsis californica","Pacific walker (snail)","Pomatiopsis californica","G1","S1",NA,NA,"1","CR","Coos, Lane","Invertebrate Animal",NA,"Strategy species","Snails and Slugs","x"
"52","Teratocoris paludum","Pale plant bug","Teratocoris paludum","G4","S1?",NA,NA,"3","CR","Coos","Invertebrate Animal",NA,NA,"Insects","x"
"53","Juga orickensis","Redwood juga (snail)","Juga orickensis","G2Q","S2?",NA,NA,"3","CR","Curr","Invertebrate Animal",NA,NA,"Snails and Slugs","x"
"54","Pomatiopsis binneyi","Robust walker (snail)","Pomatiopsis binneyi","G1","S1",NA,NA,"1","CR, KM","Coos, Curr, Jack","Invertebrate Animal",NA,"Strategy species","Snails and Slugs","x"
"55","Pterostichus rothi","Roth's blind ground beetle","Pterostichus rothi","G2?","S2?",NA,NA,"4","CR","Bent, Linc","Invertebrate Animal",NA,NA,"Insects","x"
"56","Gliabates oregonius","Salamander slug","Gliabates oregonius","GHQ","SH",NA,NA,"1","CR","Lane","Invertebrate Animal",NA,NA,"Snails and Slugs","x"
"57","Callophrys polios maritima","Seaside hoary elfin (butterfly)","Callophrys polios","G5T2T3","S1",NA,NA,"1","CR","Curr, Linc","Invertebrate Animal",NA,"Strategy species","Insects","x"
"58","Nebria gebleri siskiyouensis","Siskiyou gazelle beetle","Nebria gebleri","G4G5T4","S4",NA,NA,"3","CR, KM","Curr, Jack, Jose","Invertebrate Animal",NA,NA,"Insects","x"
"59","Hochbergellus hirsutus","Sisters hesperian (snail)","Hochbergellus hirsutus","G1","S1",NA,NA,"1","CR","Curr","Invertebrate Animal",NA,"Strategy species","Snails and Slugs","x"
"60","Cicindela hirticollis siuslawensis","Siuslaw sand tiger beetle","Cicindela hirticollis","G5T1T2","S1S2",NA,NA,"1","CR","Coos, Curr, Doug, Lane, Linc, Till","Invertebrate Animal",NA,NA,"Insects","x"
"61","Hesperarion mariae","Tillamook westernslug","Hesperarion mariae","G3","S3",NA,NA,"4","CR","Doug, Lane, Linc, Till, Wash, Yamh","Invertebrate Animal",NA,NA,"Snails and Slugs",""
"62","Hemphillia glandulosa","Warty jumping-slug","Hemphillia glandulosa","G3G4","S1?",NA,NA,"3","CR","Clat, Yamh","Invertebrate Animal",NA,NA,"Snails and Slugs",""
